,Artist,Song
306,Midnight Oil,Beds Are Burning
307,Bruce Willis,Respect Yourself
308,T'Pau,Heart and Soul
309,Pretty Poison,Catch Me (I'm Falling)
310,Living in a Box,Living in a Box
311,Billy Vera,At This Moment
312,Paul Lekakis,Boom Boom (Let's Go Back To My Room)
313,Patrick Swayze,She's Like the Wind
314,Company B,Fascinated
315,Club Nouveau,Lean on Me
316,Bourgeois Tagg,[426]
317,When in Rome,The Promise
318,Johnny Hates Jazz,Shattered Dreams
319,Rob Base & DJ E-Z Rock,It Takes Two
320,Edie Brickell & New Bohemians,What I Am
321,Will to Power,"Baby, I Love Your Way/Freebird Medley"
322,Bobby McFerrin,"Don't Worry, Be Happy"
323,The La's,There She Goes
324,Johnny Kemp,Just Got Paid
325,Dan Reed Network,[31]
326,MARRS,Pump Up The Volume
327,Information Society,What's On Your Mind (Pure Energy)
328,E.U.,Da' Butt
329,Jane Wiedlin,Rush Hour
330,The Church,Under the Milky Way
331,Vixen,Edge of a Broken Heart
332,J.J. Fad,Supersonic
333,Ziggy Marley and The Melody Makers,Tomorrow People
334,Kon Kan,I Beg Your Pardon (I Never Promised You a Rose Garden)
335,Boys Club,I Remember Holding You
336,Grayson Hugh,[230]
337,Neneh Cherry,Buffalo Stance
338,Roachford,Cuddly Toy
339,Jeff Healey,Angel Eyes
340,L.A. Guns,The Ballad of Jayne
341,Faster Pussycat,House of Pain
342,Love and Rockets,So Alive
343,Martika,Toy Soldiers
344,Biz Markie,Just a Friend
345,Michael Damian,Rock On
346,Jimmy Harnen with Synch,Where Are You Now?
347,Sheriff,When I'm with You
348,Alannah Myles,Black Velvet
349,Kix,Don't Close Your Eyes
350,Jane Child,Don't Wanna Fall in Love
351,Sinead O'Connor,Nothing Compares 2 U
352,Mellow Man Ace,Mentirosa
353,Vanilla Ice,Ice Ice Baby
354,Electronic,Getting Away With It
355,The Lightning Seeds,Pure
356,Candyman,Knockin' Boots
357,Deee-Lite,Groove Is in the Heart
358,EMF,Unbelievable
359,Gerardo,Rico Suave
360,DNA,Tom's Diner
361,Queensrÿche,Silent Lucidity
362,Tom Cochrane,Life Is a Highway
363,Right Said Fred,I'm Too Sexy
364,Sir Mix-A-Lot,Baby Got Back
365,House of Pain,Jump Around
366,Positive K,I Got a Man
367,Charles & Eddie,Would I Lie To You?
368,Us3,Cantaloop (Flip Fantasia)
369,Paperboy,Ditty
370,RuPaul,Supermodel (You Better Work)
371,Duice,Dazzey Duks
372,95 South,"Whoot, There It Is"
373,Tag Team,Whoomp! (There It Is)
374,Robin S.,Show Me Love
375,Blind Melon,No Rain
376,Haddaway,What Is Love
377,The Proclaimers,I'm Gonna Be (500 Miles)
378,4 Non Blondes,What's Up?
379,BoDeans,Closer to Free
380,The Breeders,Cannonball
381,Corona,The Rhythm Of The Night
382,Ahmad,Back in the Day
383,Ini Kamoze,Here Comes the Hotstepper
384,Rednex,Cotton Eye Joe
385,Toadies,Possum Kingdom
386,Everything but the Girl,Missing
387,Adina Howard,Freak like Me
388,Deep Blue Something,Breakfast at Tiffany's
